bc,optim,lr,N,M,T,N_star
1.0,SGD,2.0,2,1,1,False
1.0,SGD,2.0,2,10,10,False
1.0,SGD,2.0,2,100,100,False
1.0,SGD,2.0,2,1000,1000,False
1.0,SGD,1.0,2,1,1,False
1.0,SGD,1.0,2,10,10,False
1.0,SGD,1.0,2,100,100,False
1.0,SGD,1.0,2,1000,1000,False
1.0,SGD,0.1,2,1,1,False
1.0,SGD,0.1,2,10,10,False
1.0,SGD,0.1,2,100,100,False
1.0,SGD,0.1,2,1000,1000,False
1.0,SGD,0.01,2,1,1,False
1.0,SGD,0.01,2,10,10,False
1.0,SGD,0.01,2,100,100,False
1.0,SGD,0.01,2,1000,1000,False
