sigma_e,alpha,beta,optim,lr,N,M,T,N_star
0.05,0.36,0.96,SGD,2.0,2,100,100,True
0.05,0.36,0.96,SGD,2.0,100,2,100,False
0.05,0.36,0.96,SGD,2.0,20,10,100,False
0.05,0.36,0.96,SGD,2.0,2,100,100,False
0.05,0.36,0.96,SGD,1.0,2,100,100,True
0.05,0.36,0.96,SGD,1.0,100,2,100,False
0.05,0.36,0.96,SGD,1.0,20,10,100,False
0.05,0.36,0.96,SGD,1.0,2,100,100,False
0.05,0.36,0.96,SGD,0.1,2,100,100,True
0.05,0.36,0.96,SGD,0.1,100,2,100,False
0.05,0.36,0.96,SGD,0.1,20,10,100,False
0.05,0.36,0.96,SGD,0.1,2,100,100,False
0.05,0.36,0.96,SGD,0.01,2,100,100,True
0.05,0.36,0.96,SGD,0.01,100,2,100,False
0.05,0.36,0.96,SGD,0.01,20,10,100,False
0.05,0.36,0.96,SGD,0.01,2,100,100,False
